 time            v(uio_in_0)     v(analog_0)     v(analog_1)     v(analog_2)    
 2.05982901e-05  1.50000000e+00  7.51290619e-01  4.92688015e-01  2.76838761e-06 
 2.15982901e-05  1.50000000e+00  7.51352899e-01  4.90694655e-01  2.76838761e-06 
 2.25982901e-05  1.50000000e+00  7.51415126e-01  4.88718429e-01  2.76838761e-06 
 2.35982901e-05  1.50000000e+00  7.51477297e-01  4.86759458e-01  2.76838761e-06 
 2.45982901e-05  1.50000000e+00  7.51539410e-01  4.84817851e-01  2.76838761e-06 
 2.55982901e-05  1.50000000e+00  7.51601462e-01  4.82893713e-01  2.76838761e-06 
 2.65982901e-05  1.50000000e+00  7.51663451e-01  4.80987141e-01  2.76838761e-06 
 2.75982901e-05  1.50000000e+00  7.51725374e-01  4.79098223e-01  2.76838761e-06 
 2.85982901e-05  1.50000000e+00  7.51787230e-01  4.77227043e-01  2.76838761e-06 
 2.95982901e-05  1.50000000e+00  7.51849014e-01  4.75373672e-01  2.76838761e-06 
 3.05982901e-05  1.50000000e+00  7.51910726e-01  4.73538176e-01  2.76838761e-06 
 3.15982901e-05  1.50000000e+00  7.51972362e-01  4.71720615e-01  2.76838761e-06 
 3.25982901e-05  1.50000000e+00  7.52033920e-01  4.69921035e-01  2.76838761e-06 
 3.35982901e-05  1.50000000e+00  7.52095398e-01  4.68139480e-01  2.76838761e-06 
 3.45982901e-05  1.50000000e+00  7.52156793e-01  4.66375982e-01  2.76838761e-06 
 3.55982901e-05  1.50000000e+00  7.52218103e-01  4.64630567e-01  2.76838761e-06 
 3.65982901e-05  1.50000000e+00  7.52279326e-01  4.62903249e-01  2.76838761e-06 
 3.75982901e-05  1.50000000e+00  7.52340458e-01  4.61194039e-01  2.76838761e-06 
 3.85982901e-05  1.50000000e+00  7.52401498e-01  4.59502935e-01  2.76838761e-06 
 3.95982901e-05  1.50000000e+00  7.52462444e-01  4.57829931e-01  2.76838761e-06 
 4.05982901e-05  1.50000000e+00  7.52523292e-01  4.56175009e-01  2.76838761e-06 
 4.15982901e-05  1.50000000e+00  7.52584040e-01  4.54538146e-01  2.76838761e-06 
 4.25982901e-05  1.50000000e+00  7.52644687e-01  4.52919309e-01  2.76838761e-06 
 4.35982901e-05  1.50000000e+00  7.52705229e-01  4.51318459e-01  2.76838761e-06 
 4.45982901e-05  1.50000000e+00  7.52765664e-01  4.49735549e-01  2.76838761e-06 
 4.55982901e-05  1.50000000e+00  7.52825990e-01  4.48170523e-01  2.76838761e-06 
 4.65982901e-05  1.50000000e+00  7.52886205e-01  4.46623319e-01  2.76838761e-06 
 4.75982901e-05  1.50000000e+00  7.52946305e-01  4.45093867e-01  2.76838761e-06 
 4.85982901e-05  1.50000000e+00  7.53006290e-01  4.43582093e-01  2.76838761e-06 
 4.95982901e-05  1.50000000e+00  7.53066155e-01  4.42087912e-01  2.76838761e-06 
 5.05982901e-05  1.50000000e+00  7.53125900e-01  4.40611235e-01  2.76838761e-06 
 5.15982901e-05  1.50000000e+00  7.53185521e-01  4.39151967e-01  2.76838761e-06 
 5.25982901e-05  1.50000000e+00  7.53245016e-01  4.37710007e-01  2.76838761e-06 
 5.35982901e-05  1.50000000e+00  7.53304384e-01  4.36285246e-01  2.76838761e-06 
 5.45982901e-05  1.50000000e+00  7.53363620e-01  4.34877571e-01  2.76838761e-06 
 5.55982901e-05  1.50000000e+00  7.53422724e-01  4.33486866e-01  2.76838761e-06 
 5.65982901e-05  1.50000000e+00  7.53481693e-01  4.32113007e-01  2.76838761e-06 
 5.75982901e-05  1.50000000e+00  7.53540525e-01  4.30755867e-01  2.76838761e-06 
 5.85982901e-05  1.50000000e+00  7.53599217e-01  4.29415313e-01  2.76838761e-06 
 5.95982901e-05  1.50000000e+00  7.53657766e-01  4.28091209e-01  2.76838761e-06 
 6.05982901e-05  1.50000000e+00  7.53716171e-01  4.26783416e-01  2.76838761e-06 
 6.15982901e-05  1.50000000e+00  7.53774430e-01  4.25491790e-01  2.76838761e-06 
 6.25982901e-05  1.50000000e+00  7.53832539e-01  4.24216184e-01  2.76838761e-06 
 6.35982901e-05  1.50000000e+00  7.53890497e-01  4.22956449e-01  2.76838761e-06 
 6.45982901e-05  1.50000000e+00  7.53948302e-01  4.21712432e-01  2.76838761e-06 
 6.55982901e-05  1.50000000e+00  7.54005951e-01  4.20483977e-01  2.76838761e-06 
 6.65982901e-05  1.50000000e+00  7.54063441e-01  4.19270929e-01  2.76838761e-06 
 6.75982901e-05  1.50000000e+00  7.54120771e-01  4.18073127e-01  2.76838761e-06 
 6.85982901e-05  1.50000000e+00  7.54177939e-01  4.16890410e-01  2.76838761e-06 
 6.95982901e-05  1.50000000e+00  7.54234941e-01  4.15722616e-01  2.76838761e-06 
 7.05982901e-05  1.50000000e+00  7.54291777e-01  4.14569581e-01  2.76838761e-06 
 7.15982901e-05  1.50000000e+00  7.54348443e-01  4.13431141e-01  2.76838761e-06 
 7.25982901e-05  1.50000000e+00  7.54404937e-01  4.12307129e-01  2.76838761e-06 
 7.35982901e-05  1.50000000e+00  7.54461257e-01  4.11197380e-01  2.76838761e-06 
 7.45982901e-05  1.50000000e+00  7.54517401e-01  4.10101727e-01  2.76838761e-06 
 7.55982901e-05  1.50000000e+00  7.54573367e-01  4.09020002e-01  2.76838761e-06 
 7.65982901e-05  1.50000000e+00  7.54629153e-01  4.07952039e-01  2.76838761e-06 
 7.75982901e-05  1.50000000e+00  7.54684755e-01  4.06897670e-01  2.76838761e-06 
 7.85982901e-05  1.50000000e+00  7.54740173e-01  4.05856730e-01  2.76838761e-06 
 7.95982901e-05  1.50000000e+00  7.54795403e-01  4.04829052e-01  2.76838761e-06 
 8.05982901e-05  1.50000000e+00  7.54850444e-01  4.03814469e-01  2.76838761e-06 
